S.No.,Base Form,Past Form,Past Participle Form,s / es/ ies,?ing? form
1,abide,ABODE,abode,abides,abiding
2,alight,ALIT,alit,alights,alighting
3,arise,AROSE,arisen,arises,arising
4,awake,AWOKE,awoken,awakes,awaking
5,"be (am,are)",WAS / WERE,been,is,being
6,bear,BORE,born/borne,bears,bearing
7,beat,BEAT,beaten,beats,beating
8,become,BECAME,become,becomes,becoming
9,befall,BEFELL,befallen,befalls,befalling
10,begin,BEGAN,begun,begins,beginning
11,behold,BEHELD,beheld,beholds,beholding
12,bend,BENT,bent,bends,bending
13,bereave,BEREFT,bereft,bereaves,bereaving
14,beseech,BESOUGHT,besought,beseeches,beseeching
15,bet,BET,bet,bets,betting
16,bid,BADE,bidden,bids,bidding
17,bid,BID,bid,bids,bidding
18,bind,BOUND,bound,binds,binding
19,bite,BIT,bitten,bites,biting
20,bleed,BLED,bled,bleeds,bleeding
21,blow,BLEW,blown,blows,blowing
22,break,BROKE,broken,breaks,breaking
23,breed,BRED,bred,breeds,breeding
24,bring,BROUGHT,brought,brings,bringing
25,broadcast,BROADCAST,broadcast,broadcasts,broadcasting
26,build,BUILT,built,builds,building
27,burn,BURNT,burnt,burns,burning
28,burst,BURST,burst,bursts,bursting
29,bust,BUST,bust,busts,busting
30,buy,BOUGHT,bought,buys,buying
31,cast,CAST,cast,casts,casting
32,catch,CAUGHT,caught,catches,catching
33,chide,CHID,chidden,chides,chiding
34,choose,CHOSE,chosen,chooses,choosing
35,cleave,CLOVE/CLEFT,cloven/cleft,cleaves,cleaving
36,cling,CLUNG,clung,clings,clinging
37,clothe,CLAD,clad,clothes,clothing
38,come,CAME,come,comes,coming
39,cost,COST,cost,costs,costing
40,creep,CREPT,crept,creeps,creeping
41,cut,CUT,cut,cuts,cutting
42,deal,DEALT,dealt,deals,dealing
43,dig,DUG,dug,digs,digging
44,do,DID,done,does,doing
45,draw,DREW,drawn,draws,drawing
46,dream,DREAMT,dreamt,dreams,dreaming
47,drink,DRANK,drunk,drinks,drinking
48,drive,DROVE,driven,drives,driving
49,dwell,DWELT,dwelt,dwells,dwelling
50,eat,ATE,eaten,eats,eating
51,fall,FELL,fallen,falls,falling
52,fart,FART,fart,farts,farting
53,feed,FED,fed,feeds,feeding
54,feel,FELT,felt,feels,feeling
55,fight,FOUGHT,fought,fights,fighting
56,find,FOUND,found,finds,finding
57,fit,FIT,fit,fits,fitting
58,flee,FLED,fled,flees,fleeing
59,fling,FLUNG,flung,flings,flinging
60,fly,FLEW,flown,flies,flying
61,forbid,FORBADE,forbidden,forbids,forbidding
62,forecast,FORECAST,forecast,forecasts,forecasting
63,forget,FORGOT,forgotten,forgets,forgetting
64,forgive,FORGAVE,forgiven,forgives,forgiving
65,forsake,FORSOOK,forsaken,forsakes,forsaking
66,freeze,FROZE,frozen,freezes,freezing
67,gainsay,GAINSAID,gainsaid,gainsays,gainsaying
68,get,GOT,got,gets,getting
69,gird,GIRT,girt,girds,girding
70,give,GAVE,given,gives,giving
71,go,WENT,gone,goes,going
72,grave,GROVE,graven,graves,graving
73,grow,GREW,grown,grows,growing
74,hang,HUNG,hung,hangs,hanging
75,have,HAD,had,has,having
76,hear,HEARD,heard,hears,hearing
77,heave,HOVE,hove,heaves,heaving
78,hew,HEWED,hewn,hews,hewing
79,hide,HID,hidden,hides,hiding
80,hit,HIT,hit,hits,hitting
81,hold,HELD,held,holds,holding
82,hurt,HURT,hurt,hurts,hurting
83,inlay,INLAID,inlaid,inlays,inlaying
84,input,INPUT,input,inputs,inputting
85,keep,KEPT,kept,keeps,keeping
86,kneel,KNELT,knelt,kneels,kneeling
87,knit,KNIT,knit,knits,knitting
88,know,KNEW,known,knows,knowing
89,lade,LADED,laden,lades,lading
90,lay,LAID,laid,lays,laying
91,lead,LED,led,leads,leading
92,lean,LEANT,leant,leans,leaning
93,leap,LEAPT,leapt,leaps,leaping
94,learn,LEARNT,learnt,learns,learning
95,leave,LEFT,left,leaves,leaving
96,lend,LENT,lent,lends,lending
97,let,LET,let,lets,letting
98,lie,LAY,lain,lies,lying
99,light,LIT,lit,lights,lighting
100,lose,LOST,lost,loses,losing
101,make,MADE,made,makes,making
102,mean,MEANT,meant,means,meaning
103,meet,MET,met,meets,meeting
104,mistake,MISTOOK,mistaken,mistakes,mistaking
105,mow,MOWED,mown,mows,mowing
106,partake,PARTOOK,partaken,partakes,partaking
107,pay,PAID,paid,pays,paying
108,plead,PLED,pled,pleads,pleading
109,put,PUT,put,puts,putting
110,quit,QUIT,quit,quits,quitting
111,read (???),READ (???),read (???),reads,reading
112,rend,RENT,rent,rends,rending
113,rid,RID,rid,rids,ridding
114,ride,RODE,ridden,rides,riding
115,ring,RANG,rung,rings,ringing
116,rise,ROSE,risen,rises,rising
117,run,RAN,run,runs,running
118,saw,SAWED,sawn,saws,sawing
119,say,SAID,said,says,saying
120,see,SAW,seen,sees,seeing
121,seek,SOUGHT,sought,seeks,seeking
122,sell,SOLD,sold,sells,selling
123,send,SENT,sent,sends,sending
124,set,SET,set,sets,setting
125,sew,SEWED,sewn,sews,sewing
126,shake,SHOOK,shaken,shakes,shaking
127,shave,SHOVE,shaven,shaves,shaving
128,shear,SHORE,shorn,shears,shearing
129,shed,SHED,shed,sheds,shedding
130,shine,SHONE,shone,shines,shining
131,shit,SHIT,shit,shits,shitting
132,shoe,SHOD,shod,shoes,shoeing
133,shoot,SHOT,shot,shoots,shooting
134,show,SHOWED,shown,shows,showing
135,shrink,SHRANK,shrunk,shrinks,shrinking
136,shrive,SHROVE,shriven,shrives,shriving
137,shut,SHUT,shut,shuts,shutting
138,sing,SANG,sung,sings,singing
139,sink,SANK,sunk,sinks,sinking
140,sit,SAT,sat,sits,sitting
141,slay,SLEW,slain,slays,slaying
142,sleep,SLEPT,slept,sleeps,sleeping
143,slide,SLID,slid,slides,sliding
144,sling,SLUNG,slung,slings,slinging
145,slink,SLUNK,slunk,slinks,slinking
146,slit,SLIT,slit,slits,slitting
147,smell,SMELT,smelt,smells,smelling
148,smite,SMOTE,smitten,smites,smiting
149,speak,SPOKE,spoken,speaks,speaking
150,speed,SPED,sped,speeds,speeding
151,spell,SPELT,spelt,spells,spelling
152,spend,SPENT,spent,spends,spending
153,spill,SPILT,spilt,spills,spilling
154,spin,SPUN,spun,spins,spinning
155,spit,SPAT,spat,spits,spitting
156,split,SPLIT,split,splits,splitting
157,spoil,SPOILT,spoilt,spoils,spoiling
158,spread,SPREAD,spread,spreads,spreading
159,spring,SPRANG,sprung,springs,springing
160,stand,STOOD,stood,stands,standing
161,steal,STOLE,stolen,steals,stealing
162,stick,STUCK,stuck,sticks,sticking
163,sting,STUNG,stung,stings,stinging
164,stink,STANK,stunk,stinks,stinking
165,strew,STREWED,strewn,strews,strewing
166,stride,STRODE,stridden,strides,striding
167,strike,STRUCK,stricken,strikes,striking
168,string,STRUNG,strung,strings,stringing
169,strive,STROVE,striven,strives,striving
170,swear,SWORE,sworn,swears,swearing
171,sweat,SWEAT,sweat,sweats,sweating
172,sweep,SWEPT,swept,sweeps,sweeping
173,swell,SWELLED,swollen,swells,swelling
174,swim,SWAM,swum,swims,swimming
175,swing,SWUNG,swung,swings,swinging
176,take,TOOK,taken,takes,taking
177,teach,TAUGHT,taught,teaches,teaching
178,tear,TORE,torn,tears,tearing
179,tell,TOLD,told,tells,telling
180,think,THOUGHT,thought,thinks,thinking
181,thrive,THROVE,thriven,thrives,thriving
182,throw,THREW,thrown,throws,throwing
183,thrust,THRUST,thrust,thrusts,thrusting
184,tread,TROD,trodden,treads,treading
185,understand,UNDERSTOOD,understood,understands,understanding
186,wake,WOKE,woken,wakes,waking
187,way-lay,WAY-LAID,way-laid,way-lays,way-laying
188,wear,WORE,worn,wears,wearing
189,weave,WOVE,woven,weaves,weaving
190,wed,WED,wed,weds,wedding
191,weep,WEPT,wept,weeps,weeping
192,welcome,WELCOMED,welcomed,welcomes,welcoming
193,wend,WENT,went,wends,wending
194,wet,WET,wet,wets,wetting
195,win,WON,won,wins,winning
196,wind,WOUND,wound,winds,winding
197,withdraw,WITHDREW,withdrawn,withdraws,withdrawing
198,wring,WRUNG,wrung,wrings,wringing
199,write,WROTE,written,writes,writing
